category,gauss,random
A,0.8764968487442351,4
D,0.8032103386458863,2
D,0.6669261690007011,6
A,0.12922687076484562,8
A,0.5812620000098994,1
B,0.8456728153958357,5
A,0.08011012760468683,2
A,0.8202562387582168,6
C,0.9914991786474768,7
C,0.6871147109462103,0
C,0.03375515844035004,9
D,0.7459928519200404,1
A,0.553278194102765,8
C,0.7850989533796081,0
B,0.6436550770767789,4
A,0.4945222740824329,2
D,0.9713344481561134,4
C,0.5255709665782792,9
A,0.33757537469163523,5
D,0.01532803912766012,3
C,0.8224526745680532,0
B,0.4218276095189871,2
D,0.05499309097492322,7
B,0.2894643507507887,0
A,0.33626287870246363,5
A,0.7042720192516722,3
A,0.5925177543033378,9
D,0.8159775178000586,0
A,0.005768276829133723,0
A,0.5568889905603467,6
B,0.6217209084833705,0
D,0.33271307977216547,9
C,0.6608848816813206,9
B,0.277747070933251,8
A,0.5456041060472764,5
B,0.35555905391100595,1
A,0.8544963752113274,9
D,0.34649847541267154,1
A,0.25801526041112777,3
A,0.9794617441774355,8
C,0.32926302944014596,6
C,0.04194425979102023,2
A,0.04435006803771502,3
B,0.07027639966997778,6
A,0.45906249674552646,2
B,0.4025005208242649,2
A,0.04209308870030626,6
C,0.5923188763550936,0
A,0.21126141284184385,3
A,0.27227324418089904,5
A,0.5005353494441693,0
A,0.44135814028685827,0
A,0.2592734038065342,7
D,0.41835605905473205,1
B,0.4075283105700911,9
B,0.8707357344830461,2
B,0.5672649822337384,7
A,0.41248094382798994,4
A,0.04638954899261183,5
B,0.4453997295541584,8
A,0.8824137864969074,9
A,0.34670882177958684,8
B,0.3053626761050475,4
B,0.5949013356534326,9
B,0.4145884814866425,5
B,0.7463402999252065,1
A,0.4652807399343012,9
A,0.20147546592712096,6
C,0.7679295001131357,5
A,0.03544966500624591,5
D,0.1494659367840282,0
D,0.16160132115496129,2
A,0.39795637676198503,9
D,0.7242865411046622,8
A,0.2661855732384222,7
A,0.32079438434853724,0
A,0.821969320753326,0
A,0.8358527467105487,7
D,0.8292155547898636,6
A,0.5953697874202709,9
B,0.6152266238542836,9
C,0.5130006682916574,1
A,0.13483989305039024,0
B,0.09313040714021203,4
A,0.929057090213148,6
B,0.15339488917685717,5
B,0.5997626650708059,8
A,0.7887912299950932,7
A,0.22827056823720626,2
A,0.4624092852633661,6
A,0.33107713349965073,8
B,0.0850901605675517,5
C,0.0035922666937540093,4
A,0.7608141862940075,6
C,0.9740213586624101,1
B,0.2400215259308267,8
B,0.7154823616135714,9
C,0.579999742644694,2
C,0.9111220436948907,9
B,0.30276177116057656,1
A,0.39481640805442586,2
B,0.41695934745636365,9
A,0.10363437840756973,1
A,0.9137437873032366,4
B,0.7579429479242512,1
B,0.29308245352945395,0
A,0.30489861335827484,4
A,0.9262069051303168,4
A,0.9732196449741345,1
B,0.20061531946220512,2
B,0.9306855906052686,8
A,0.19215879730726804,3
D,0.7088536506192439,0
A,0.20907463676220117,0
A,0.34883627340395174,5
A,0.6669424771312948,5
B,0.45418179109494594,7
D,0.9749442419813176,5
A,0.35734418239992727,1
A,0.6203197165891711,6
A,0.17269246425239348,5
A,0.5790835023244325,7
B,0.6137081308247245,8
D,0.6120234885643812,2
C,0.9784934436324464,4
B,0.01326258234297728,9
A,0.9864836950297112,0
A,0.1986167496684711,4
D,0.935254894508774,1
D,0.13770459341174324,6
B,0.8739852242820696,9
A,0.47086072459977635,9
A,0.688881948165292,9
A,0.18085092599087016,7
B,0.9793055690006897,7
C,0.6559346851250281,9
C,0.47553105262699025,1
A,0.9027289530635942,3
A,0.7679632882097346,9
B,0.45244585193357045,0
A,0.54498932754078,9
A,0.3462786467128147,2
D,0.3967221296357175,9
A,0.2502185374359335,7
C,0.4875234766728479,2
A,0.9475540210126071,4
A,0.08583707016870568,8
A,0.4454425739822385,9
D,0.8246217250545816,0
A,0.9089057210440128,0
A,0.8118677828238438,4
D,0.33191727421827977,0
B,0.9428500848065969,7
A,0.10759218823455419,8
A,0.7445663828083974,9
C,0.7296875171980619,1
A,0.28971802660104384,3
B,0.5432912943215662,6
A,0.1509751612296435,9
A,0.42646830041725525,3
A,0.4068529692707562,8
D,0.961406284514547,3
A,0.07021705153340818,4
A,0.12139142844269435,0
A,0.8175197713641031,3
A,0.19170668080911146,1
C,0.21310280647398783,3
A,0.851822957513763,7
A,0.6120485720067582,1
A,0.3583130428173493,9
B,0.8664804916741702,0
A,0.4351153184729848,7
B,0.7891026758444302,7
A,0.20864334575727883,7
B,0.29248228585744873,4
A,0.8829508125888104,6
A,0.5843204733648264,8
A,0.41162248269048485,5
C,0.1353867052757387,8
A,0.7215016647509688,2
B,0.8849735388089849,0
A,0.104358358310923,2
A,0.4568629315803998,0
C,0.016993003340463164,2
B,0.41344990175057317,5
A,0.9496676769586154,0
A,0.35002433162263447,2
A,0.20138625016324918,0
A,0.404718281926414,5
B,0.5771403568697806,6
B,0.20649453656217942,8
A,0.6672191256922072,5
C,0.3362312695634314,7
A,0.16010639466070842,1
A,0.5591395579535116,1
B,0.19920112910670185,2
B,0.5908758599605092,0
D,0.8265967434493879,2
D,0.3168972355093631,3
A,0.5574196546273702,6
A,0.6188537822934836,6
A,0.7084096039362544,9
B,0.969706185774772,2
B,0.6713657482414314,9
A,0.29946259097001016,2
C,0.8938558717961578,7
A,0.608132375155639,5
B,0.8934872401140569,0
A,0.0784211649201888,6
A,0.5888760481180174,0
C,0.9593398334704895,4
A,0.6696465116210036,0
B,0.4613372213594603,8
B,0.5363978235841252,0
B,0.017358862562080746,1
A,0.04849282747028294,3
A,0.2766234108456628,0
C,0.2784494112178475,9
A,0.19908187989519022,9
B,0.3911964391244448,4
A,0.16176785391498794,7
D,0.8524892756232308,8
A,0.3217881424003962,2
D,0.25283114428383624,3
D,0.7096432352418076,4
A,0.6854262877727489,1
B,0.26009518884171723,2
A,0.5608327993864396,3
A,0.8287366234480469,0
A,0.6858027581825453,8
A,0.9205352757634079,5
A,0.2999187112783176,5
B,0.3568520410311351,9
C,0.02517478422272368,1
A,0.402630876580903,4
A,0.2916816977003336,7
C,0.04428759434224128,1
B,0.1468205137731341,1
C,0.6293758224765715,2
D,0.7610711191921199,4
A,0.05019571477502538,3
B,0.6328676021928475,6
A,0.2906480754942483,5
C,0.7541992694477443,3
B,0.7060655367794542,1
C,0.22335371805692217,5
D,0.48088662309167673,3
B,0.2170604542536626,9
C,0.9018988920418602,4
A,0.3550655226268682,3
A,0.9292559956677848,9
A,0.22127172413564944,4
C,0.7588256516851615,6
C,0.32566192409205463,9
A,0.5516202082174219,7
B,0.9681161363784719,1
A,0.4195851243991534,1
A,0.3427878879792359,7
A,0.9447959069638062,7
C,0.7122372463628011,6
A,0.0051261770681017005,0
A,0.0603456997128039,6
A,0.5407057635112925,2
C,0.29685498173356395,4
D,0.6758773958689989,5
B,0.23648517553468928,4
A,0.05305825680317178,5
C,0.33107632097160555,9
A,0.6932299423744853,9
A,0.745219135072507,9
A,0.027703765508805933,8
D,0.6940945831220364,0
C,0.12836618330071947,3
A,0.7014002749888064,2
A,0.007118945936678611,2
C,0.09751362423110654,0
A,0.9783967524005678,6
A,0.8777452949360368,0
A,0.9828946802033571,4
D,0.6771559090097637,9
A,0.4720680829360624,6
A,0.8829773920838205,3
C,0.4517031383732866,5
C,0.6437144540004874,9
D,0.37864874008295757,6
B,0.04696933833494377,0
A,0.147864740361349,8
B,0.70066588734937,0
C,0.4108193830639202,7
A,0.05431690720247928,5
A,0.6780913016827645,1
